choose_one_category,tweet_id
other_useful_information,'451187935082082305'
caution_and_advice,'451187935786704896'
other_useful_information,'451187936177176576'
not_related_or_irrelevant,'451187936298422272'
caution_and_advice,'451187936726228993'
other_useful_information,'451187937716494336'
sympathy_and_emotional_support,'451187944649281538'
other_useful_information,'451187945371074560'
caution_and_advice,'451187945710845952'
other_useful_information,'451187945832054784'
caution_and_advice,'451187949095632897'
injured_or_dead_people,'451187949976428545'
injured_or_dead_people,'451187950869417984'
other_useful_information,'451187950886203392'
displaced_people_and_evacuations,'451187951045599232'
other_useful_information,'451187951293456384'
other_useful_information,'451187952740474881'
caution_and_advice,'451187954439172096'
caution_and_advice,'451187957399953409'
injured_or_dead_people,'451187957659992065'
caution_and_advice,'451187958641483776'
caution_and_advice,'451187960470200320'
sympathy_and_emotional_support,'451187962298908673'
sympathy_and_emotional_support,'451187963758534656'
sympathy_and_emotional_support,'451187964216111104'
caution_and_advice,'451187965411065857'
displaced_people_and_evacuations,'451187966845935617'
displaced_people_and_evacuations,'451187966917214208'
not_related_or_irrelevant,'451187968263192576'
other_useful_information,'451187968485498881'
sympathy_and_emotional_support,'451187973590364160'
not_related_or_irrelevant,'451187975192580097'
other_useful_information,'451187978082074625'
sympathy_and_emotional_support,'451187979860836352'
injured_or_dead_people,'451187985615052800'
caution_and_advice,'451187985665753088'
not_related_or_irrelevant,'451187985938403328'
caution_and_advice,'451187986659430400'
injured_or_dead_people,'451187987573796864'
not_related_or_irrelevant,'451187987641294848'
other_useful_information,'451187990086582272'
displaced_people_and_evacuations,'451187992762122240'
sympathy_and_emotional_support,'451187993576230912'
caution_and_advice,'451187995061006336'
sympathy_and_emotional_support,'451187995736276992'
other_useful_information,'451187996436746240'
other_useful_information,'451187997002989568'
sympathy_and_emotional_support,'451187998022205440'
caution_and_advice,'451188000630648832'
sympathy_and_emotional_support,'451188002010570753'
caution_and_advice,'451188003164418048'
caution_and_advice,'451188007773548544'
other_useful_information,'451188007916568576'
other_useful_information,'451188009015476224'
other_useful_information,'451188015419777024'
other_useful_information,'451188016250249216'
other_useful_information,'451188019434106880'
other_useful_information,'451188019488235520'
infrastructure_and_utilities_damage,'451188023686737922'
injured_or_dead_people,'451188024655613952'
sympathy_and_emotional_support,'451188024978993153'
other_useful_information,'451188025142157312'
other_useful_information,'451188026283028480'
sympathy_and_emotional_support,'451188029256790016'
caution_and_advice,'451188029550383104'
sympathy_and_emotional_support,'451188030875770880'
injured_or_dead_people,'451188031966703616'
not_related_or_irrelevant,'451188032247324672'
not_related_or_irrelevant,'451188032498962432'
sympathy_and_emotional_support,'451188033342025729'
sympathy_and_emotional_support,'451188033766043648'
other_useful_information,'451188034088615936'
not_related_or_irrelevant,'451188034403201025'
sympathy_and_emotional_support,'451188035787292673'
sympathy_and_emotional_support,'451188036282241026'
other_useful_information,'451188036563632128'
other_useful_information,'451188037028831232'
other_useful_information,'451188037041414144'
other_useful_information,'451188038618451968'
other_useful_information,'451188039667441665'
other_useful_information,'451188043358011393'
not_related_or_irrelevant,'451188049733771265'
not_related_or_irrelevant,'451188051071762432'
caution_and_advice,'451188052459655168'
sympathy_and_emotional_support,'451188053626064896'
other_useful_information,'451188054028726272'
other_useful_information,'451188055110852608'
sympathy_and_emotional_support,'451188055186374656'
not_related_or_irrelevant,'451188057719709696'
other_useful_information,'451188058163916800'
caution_and_advice,'451188058470514688'
other_useful_information,'451188059531259904'
not_related_or_irrelevant,'451188060172988416'
sympathy_and_emotional_support,'451188060193951744'
sympathy_and_emotional_support,'451188061687513088'
not_related_or_irrelevant,'451188061804572672'
not_related_or_irrelevant,'451188062718918656'
sympathy_and_emotional_support,'451188066191806464'
other_useful_information,'451188066523152384'
other_useful_information,'451188067517202432'
injured_or_dead_people,'451188068171931648'
not_related_or_irrelevant,'451188070591643648'
not_related_or_irrelevant,'451188072202637313'
other_useful_information,'451188072688787456'
sympathy_and_emotional_support,'451188073209290752'
injured_or_dead_people,'451188075096702976'
injured_or_dead_people,'451188081614266368'
displaced_people_and_evacuations,'451188082453536769'
other_useful_information,'451188084114092032'
sympathy_and_emotional_support,'451188088329342976'
other_useful_information,'451188089080135680'
other_useful_information,'451188089265094657'
sympathy_and_emotional_support,'451188091210850304'
infrastructure_and_utilities_damage,'451188092796686336'
other_useful_information,'451188093052137472'
not_related_or_irrelevant,'451188093539078145'
sympathy_and_emotional_support,'451188095854329856'
caution_and_advice,'451188096756121600'
sympathy_and_emotional_support,'451188097980452864'
caution_and_advice,'451188098362535937'
other_useful_information,'451188101247823873'
not_related_or_irrelevant,'451188101377843200'
other_useful_information,'451188106063249408'
injured_or_dead_people,'451188106830835712'
caution_and_advice,'451188112979689475'
not_related_or_irrelevant,'451188115034501121'
displaced_people_and_evacuations,'451188116192108544'
sympathy_and_emotional_support,'451188117504942080'
caution_and_advice,'451188121879588865'
caution_and_advice,'451188122210942976'
other_useful_information,'451188122332565504'
other_useful_information,'451188124132331520'
sympathy_and_emotional_support,'451188124480049152'
other_useful_information,'451188132260904962'
not_related_or_irrelevant,'451188133371969536'
other_useful_information,'451188135553433600'
not_related_or_irrelevant,'451188135763124224'
not_related_or_irrelevant,'451188136215719936'
other_useful_information,'451188136861638657'
caution_and_advice,'451188137335988224'
other_useful_information,'451188137860300802'
sympathy_and_emotional_support,'451188141425430528'
caution_and_advice,'451188141555073024'
sympathy_and_emotional_support,'451188144172716032'
caution_and_advice,'451188145157980161'
other_useful_information,'451188145661681666'
not_related_or_irrelevant,'451188145665892352'
caution_and_advice,'451188146206568450'
other_useful_information,'451188147079380992'
other_useful_information,'451188148236611584'
other_useful_information,'451188150220509184'
other_useful_information,'451188152712310784'
injured_or_dead_people,'451188155488960512'
sympathy_and_emotional_support,'451188158424948736'
sympathy_and_emotional_support,'451188159242465280'
other_useful_information,'451188163545808896'
not_related_or_irrelevant,'451188164074291200'
not_related_or_irrelevant,'451188164535652352'
sympathy_and_emotional_support,'451188165038989313'
other_useful_information,'451188165445824512'
sympathy_and_emotional_support,'451188167111376896'
other_useful_information,'451188167140704256'
caution_and_advice,'451188167384002560'
other_useful_information,'451188172144537600'
not_related_or_irrelevant,'451188172991377409'
other_useful_information,'451188173607948288'
sympathy_and_emotional_support,'451188173914529792'
sympathy_and_emotional_support,'451188175671918592'
other_useful_information,'451188176522981376'
sympathy_and_emotional_support,'451188178058502145'
sympathy_and_emotional_support,'451188178545016832'
sympathy_and_emotional_support,'451188178875981825'
other_useful_information,'451188181145096192'
caution_and_advice,'451188183704035328'
other_useful_information,'451188185188802560'
other_useful_information,'451188188040552449'
caution_and_advice,'451188189131468800'
injured_or_dead_people,'451188190645592065'
sympathy_and_emotional_support,'451188193149214721'
sympathy_and_emotional_support,'451188194848280576'
not_related_or_irrelevant,'451188196257562624'
caution_and_advice,'451188197587185664'
infrastructure_and_utilities_damage,'451188198064939008'
injured_or_dead_people,'451188198291406849'
injured_or_dead_people,'451188200426315776'
other_useful_information,'451188202716418048'
infrastructure_and_utilities_damage,'451188204113113089'
sympathy_and_emotional_support,'451188204549332992'
caution_and_advice,'451188205006880768'
caution_and_advice,'451188208080936961'
not_related_or_irrelevant,'451188210539167744'
sympathy_and_emotional_support,'451188212032364544'
not_related_or_irrelevant,'451188212405260288'
caution_and_advice,'451188214028443648'
other_useful_information,'451188215396179969'
other_useful_information,'451188217011003393'
injured_or_dead_people,'451188223738273792'
other_useful_information,'451188225189875713'
other_useful_information,'451188225206280192'
sympathy_and_emotional_support,'451188227035381760'
caution_and_advice,'451188227337375744'
sympathy_and_emotional_support,'451188228381356032'
other_useful_information,'451188228603641856'
other_useful_information,'451188231414235136'
displaced_people_and_evacuations,'451188232550486016'
other_useful_information,'451188233305473024'
displaced_people_and_evacuations,'451188233913630720'
sympathy_and_emotional_support,'451188236510306304'
other_useful_information,'451188242239352833'
other_useful_information,'451188242797568000'
not_related_or_irrelevant,'451188243888082944'
caution_and_advice,'451188244307120129'
other_useful_information,'451188246106501121'
sympathy_and_emotional_support,'451188246249472000'
other_useful_information,'451188247184433152'
caution_and_advice,'451188247201599488'
not_related_or_irrelevant,'451188249466503169'
caution_and_advice,'451188249982406656'
not_related_or_irrelevant,'451188250091065344'
not_related_or_irrelevant,'451188250108243968'
caution_and_advice,'451188251861073922'
not_related_or_irrelevant,'451188254272806913'
sympathy_and_emotional_support,'451188256903028736'
displaced_people_and_evacuations,'451188257888698368'
other_useful_information,'451188259008577536'
not_related_or_irrelevant,'451188259154976768'
injured_or_dead_people,'451188261046583297'
other_useful_information,'451188261328015360'
not_related_or_irrelevant,'451188261952569344'
sympathy_and_emotional_support,'451188262166884352'
injured_or_dead_people,'451188262619860992'
not_related_or_irrelevant,'451188262694952960'
sympathy_and_emotional_support,'451188263714168832'
other_useful_information,'451188264578211840'
caution_and_advice,'451188265056350208'
other_useful_information,'451188266037825536'
sympathy_and_emotional_support,'451188267149312000'
other_useful_information,'451188271305875456'
other_useful_information,'451188271503405056'
caution_and_advice,'451188273356881920'
sympathy_and_emotional_support,'451188274686865408'
other_useful_information,'451188275726667777'
other_useful_information,'451188276482043904'
sympathy_and_emotional_support,'451188276805005313'
sympathy_and_emotional_support,'451188277211856897'
not_related_or_irrelevant,'451188277861576704'
other_useful_information,'451188277903495168'
not_related_or_irrelevant,'451188280252321792'
sympathy_and_emotional_support,'451188281490038785'
sympathy_and_emotional_support,'451188283159347200'
other_useful_information,'451188284870639616'
sympathy_and_emotional_support,'451188285226770434'
not_related_or_irrelevant,'451188288129626112'
sympathy_and_emotional_support,'451188288339341312'
sympathy_and_emotional_support,'451188289156816896'
other_useful_information,'451188289844674560'
not_related_or_irrelevant,'451188290008264705'
displaced_people_and_evacuations,'451188290679345152'
caution_and_advice,'451188292478722048'
sympathy_and_emotional_support,'451188292608749568'
injured_or_dead_people,'451188296010694656'
missing_trapped_or_found_people,'451188296048078848'
other_useful_information,'451188297373843456'
sympathy_and_emotional_support,'451188298166579200'
other_useful_information,'451188298644746241'
infrastructure_and_utilities_damage,'451188300012077056'
other_useful_information,'451188300267945984'
other_useful_information,'451188300301475840'
sympathy_and_emotional_support,'451188300599263232'
injured_or_dead_people,'451188301869764608'
caution_and_advice,'451188304575479808'
other_useful_information,'451188309872902145'
caution_and_advice,'451188314121715712'
other_useful_information,'451188314201022464'
sympathy_and_emotional_support,'451188316986413056'
sympathy_and_emotional_support,'451188317673902080'
displaced_people_and_evacuations,'451188317942341632'
caution_and_advice,'451188318110117888'
sympathy_and_emotional_support,'451188319850737664'
not_related_or_irrelevant,'451188320815443968'
other_useful_information,'451188321025544194'
other_useful_information,'451188321062903809'
displaced_people_and_evacuations,'451188324334850048'
sympathy_and_emotional_support,'451188325311729664'
other_useful_information,'451188325353656320'
other_useful_information,'451188325353668608'
other_useful_information,'451188325353676800'
other_useful_information,'451188325357858816'
sympathy_and_emotional_support,'451188325429170176'
caution_and_advice,'451188325462712320'
sympathy_and_emotional_support,'451188326049906688'
other_useful_information,'451188326306164736'
other_useful_information,'451188326813679616'
sympathy_and_emotional_support,'451188328277086208'
not_related_or_irrelevant,'451188331293200384'
caution_and_advice,'451188334648242177'
other_useful_information,'451188338641604608'
other_useful_information,'451188342315843585'
other_useful_information,'451188342835519488'
sympathy_and_emotional_support,'451188343083388928'
other_useful_information,'451188349563203585'
not_related_or_irrelevant,'451188353585532929'
sympathy_and_emotional_support,'451188355733409792'
infrastructure_and_utilities_damage,'451188358274756608'
not_related_or_irrelevant,'451188361823547392'
other_useful_information,'451188364243238912'
other_useful_information,'451188364403023872'
caution_and_advice,'451188364461359104'
other_useful_information,'451188367447699456'
sympathy_and_emotional_support,'451188369448374273'
caution_and_advice,'451188376251543554'
sympathy_and_emotional_support,'451188376754876416'
caution_and_advice,'451188378957275136'
other_useful_information,'451188382694404096'
sympathy_and_emotional_support,'451188383633534976'
not_related_or_irrelevant,'451188384514719744'
sympathy_and_emotional_support,'451188384737017856'
other_useful_information,'451188384849854464'
other_useful_information,'451188385814573056'
caution_and_advice,'451188390281879553'
sympathy_and_emotional_support,'451188390332231681'
other_useful_information,'451188390730280960'
caution_and_advice,'451188391527211008'
injured_or_dead_people,'451188392676433921'
other_useful_information,'451188394417475584'
other_useful_information,'451188394958524416'
not_related_or_irrelevant,'451188395658575872'
sympathy_and_emotional_support,'451188396526813185'
not_related_or_irrelevant,'451188397076254720'
other_useful_information,'451188397923516418'
caution_and_advice,'451188400545345536'
not_related_or_irrelevant,'451188400893493248'
sympathy_and_emotional_support,'451188401094402048'
other_useful_information,'451188401535205376'
not_related_or_irrelevant,'451188401833013248'
not_related_or_irrelevant,'451188402122391552'
sympathy_and_emotional_support,'451188405058015232'
sympathy_and_emotional_support,'451188406060863488'
displaced_people_and_evacuations,'451188406622498816'
injured_or_dead_people,'451188414415925248'
not_related_or_irrelevant,'451188417377095680'
other_useful_information,'451188418190774272'
sympathy_and_emotional_support,'451188419868520449'
other_useful_information,'451188419977568256'
sympathy_and_emotional_support,'451188420044681217'
donation_needs_or_offers_or_volunteering_services,'451188421550428160'
caution_and_advice,'451188423160627200'
sympathy_and_emotional_support,'451188423647195136'
sympathy_and_emotional_support,'451188424511598592'
sympathy_and_emotional_support,'451188426440597504'
other_useful_information,'451188427627565056'
sympathy_and_emotional_support,'451188428399337472'
caution_and_advice,'451188429309890560'
other_useful_information,'451188429695356928'
missing_trapped_or_found_people,'451188431356690432'
other_useful_information,'451188432669114370'
caution_and_advice,'451188434590502912'
other_useful_information,'451188438621224960'
sympathy_and_emotional_support,'451188440713814017'
sympathy_and_emotional_support,'451188445474336769'
sympathy_and_emotional_support,'451188446082506752'
other_useful_information,'451188448448495616'
sympathy_and_emotional_support,'451188449484505089'
other_useful_information,'451188450134200320'
sympathy_and_emotional_support,'451188451107676160'
other_useful_information,'451188455490330625'
sympathy_and_emotional_support,'451188457566896129'
not_related_or_irrelevant,'451188461836308480'
sympathy_and_emotional_support,'451188462368980992'
caution_and_advice,'451188463359234048'
other_useful_information,'451188465972285440'
displaced_people_and_evacuations,'451188466663948288'
caution_and_advice,'451188466823749632'
other_useful_information,'451188467200831489'
other_useful_information,'451188467397963776'
other_useful_information,'451188468434358273'
sympathy_and_emotional_support,'451188469151571969'
caution_and_advice,'451188471147683840'
sympathy_and_emotional_support,'451188472875741184'
not_related_or_irrelevant,'451188473337487360'
sympathy_and_emotional_support,'451188475815923713'
other_useful_information,'451188475966926848'
other_useful_information,'451188477821198336'
other_useful_information,'451188483520876544'
caution_and_advice,'451188483663466497'
other_useful_information,'451188485420900353'
other_useful_information,'451188487111180288'
other_useful_information,'451188489317797889'
not_related_or_irrelevant,'451188492140163073'
not_related_or_irrelevant,'451188492559597568'
other_useful_information,'451188496775282689'
caution_and_advice,'451188497399816192'
caution_and_advice,'451188498322968576'
caution_and_advice,'451188498511302656'
sympathy_and_emotional_support,'451188499040206848'
other_useful_information,'451188499073359873'
other_useful_information,'451188499925204993'
sympathy_and_emotional_support,'451188505687760896'
not_related_or_irrelevant,'451188509089345536'
caution_and_advice,'451188510234402817'
sympathy_and_emotional_support,'451188511836602368'
not_related_or_irrelevant,'451188513128468480'
not_related_or_irrelevant,'451188513392709632'
caution_and_advice,'451188515447926785'
sympathy_and_emotional_support,'451188515960025088'
not_related_or_irrelevant,'451188516748156930'
sympathy_and_emotional_support,'451188518732431360'
other_useful_information,'451188523417079808'
sympathy_and_emotional_support,'451188523677528064'
sympathy_and_emotional_support,'451188525103206402'
caution_and_advice,'451188525728145408'
other_useful_information,'451188526587985920'
other_useful_information,'451188527645351937'
not_related_or_irrelevant,'451188529671180288'
other_useful_information,'451188531311165440'
injured_or_dead_people,'451188531529269249'
injured_or_dead_people,'451188536499527680'
other_useful_information,'451188536591396864'
injured_or_dead_people,'451188537057378304'
other_useful_information,'451188537707085824'
displaced_people_and_evacuations,'451188540689620992'
sympathy_and_emotional_support,'451188540874174465'
other_useful_information,'451188542270488576'
other_useful_information,'451188542916415490'
displaced_people_and_evacuations,'451188546863652866'
caution_and_advice,'451188547811151872'
other_useful_information,'451188551334379521'
other_useful_information,'451188553465466881'
injured_or_dead_people,'451188555902377984'
other_useful_information,'451188558687002624'
displaced_people_and_evacuations,'451188565771554816'
other_useful_information,'451188566581084160'
sympathy_and_emotional_support,'451188568493285378'
not_related_or_irrelevant,'451188571735465984'
other_useful_information,'451188574759555073'
other_useful_information,'451188574948696064'
displaced_people_and_evacuations,'451188575397482497'
caution_and_advice,'451188576114716672'
other_useful_information,'451188577003913216'
caution_and_advice,'451188577884725248'
not_related_or_irrelevant,'451188580871069696'
not_related_or_irrelevant,'451188581231362048'
sympathy_and_emotional_support,'451188582703968257'
caution_and_advice,'451188583055884288'
sympathy_and_emotional_support,'451188583643496448'
sympathy_and_emotional_support,'451188585920606208'
sympathy_and_emotional_support,'451188592183115776'
caution_and_advice,'451188592250200064'
other_useful_information,'451188595890458624'
displaced_people_and_evacuations,'451188596091805696'
not_related_or_irrelevant,'451188596448325632'
other_useful_information,'451188597635682304'
not_related_or_irrelevant,'451188598541262848'
injured_or_dead_people,'451188602207096832'
not_related_or_irrelevant,'451188607064481792'
other_useful_information,'451188608032968704'
other_useful_information,'451188612789710848'
caution_and_advice,'451188615016497152'
not_related_or_irrelevant,'451188615562149888'
other_useful_information,'451188615625072640'
other_useful_information,'451188617558245376'
other_useful_information,'451188617700835328'
other_useful_information,'451188618565259264'
sympathy_and_emotional_support,'451188618673917955'
sympathy_and_emotional_support,'451188621786509313'
caution_and_advice,'451188622826295296'
other_useful_information,'451188624688951296'
caution_and_advice,'451188625372643328'
sympathy_and_emotional_support,'451188626089865217'
other_useful_information,'451188627972698112'
sympathy_and_emotional_support,'451188628212158465'
other_useful_information,'451188628920602624'
other_useful_information,'451188637880053760'
not_related_or_irrelevant,'451188639708745729'
caution_and_advice,'451188640001953792'
other_useful_information,'451188641331548160'
other_useful_information,'451188641415827456'
sympathy_and_emotional_support,'451188643177066496'
caution_and_advice,'451188643265146881'
other_useful_information,'451188644334669825'
sympathy_and_emotional_support,'451188644334686208'
sympathy_and_emotional_support,'451188644729327616'
injured_or_dead_people,'451188645970448384'
injured_or_dead_people,'451188647858307072'
sympathy_and_emotional_support,'451188648973574144'
other_useful_information,'451188649304915968'
injured_or_dead_people,'451188654132957184'
other_useful_information,'451188654929887232'
other_useful_information,'451188654984019968'
other_useful_information,'451188656007806977'
infrastructure_and_utilities_damage,'451188659476111360'
not_related_or_irrelevant,'451188659824631808'
sympathy_and_emotional_support,'451188660315365376'
