503643276499353600,. @rmjohnson45 can u connect me w/ anyone who needs help cleaning schools/classrooms up? I'd like to bring a team tomorrow. #napaearthquake
503643206219624450,Numerous Buildings Uninhabitable After Bay Area Earthquake http://t.co/VH0oq92Uxl
503643284174929920,Very sad for these wineries: California Winemakers Cleaning up After Quake - ABC News http://t.co/uyUYim7hoW
503643278697189378,#BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake
503643209894211587,Hope everyone is okay up in the bay area! #earthquake #napaquake #Napa
503643197969424384,Dozens injured after California earthquake http://t.co/c2N6WQT2LB
503643169402003456,#NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co/wG3Ic1gFPG
503643198116225024,Napa officials: Numerous buildings uninhabitable after 6.0 earthquake http://t.co/mUb9evaqZu
503643279083061248,there was an earthquake in napa what
503643218714439680,Hoping that everyone involved in the Napa #earthquake is okay. Thank you to all the incredible rescue workers.
503643202125955073,Biggest Quake in 25 Years Spurs N. Calif. State of Emergency: Northern California was... http://t.co/xa9zKIvoox | http://t.co/LBQldyKgdp
503643262541111296,Currently open in downtown Napa: @velopizzeria, @burgerfi + @DTJoeNapa. @MorimotoNapa promising dinner. #napaquake: http://t.co/7nhwDqPfMt
503643216424357888,The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...
503643275266228224,Napa County officials are using a drone to assess damage at the top of buildings. #quake #SouthNapaQuake
503643169524047873,California quake a reminder to expect B.C.'s 'Big One': After a magnitude 6.0 earthquake struck early Sunday m... http://t.co/n7lh39vzDE
503643163857526784,Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/jDlJGGV7Fa
503643250842796032,Worst earthquake in 25 years rocks California http://t.co/gdPGX4VejD
503643204156006400,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643288612913153,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Tqu1XuabWq |  @allaboutnapa #napaquake
503643359668604928,Real time coverage of #Napa California #earthquake at http://napa http://t.co/tQIsWISCIl |  @allaboutnapa #napaquake
503643337199718400,Real time coverage of #Napa California #earthquake at http://napa http://t.co/cHnt8IXICk |  @allaboutnapa #napaquake
503643340228014081,Real time coverage of #Napa California #earthquake at http://napa http://t.co/gXHCjw8lqT |  @allaboutnapa #napaquake
503643287706931201,Will be barrel pickup sticks #napaearthquake http://t.co/4WRYxfJ2vs
503643331696803840,Happy Peaceful Muslims Exploit San Francisco Earthquake http://t.co/84oBSkDD3Q #1A #pjnet
503643304039575552,Real time coverage of #Napa California #earthquake at http://napa http://t.co/F7Bzz6bGHV |  @allaboutnapa #napaquake
503643321412378624,How can you believe in a God so vengeful as to create an earthquake in Napa? #savethewine
503643308460347392,Real time coverage of #Napa California #earthquake at http://napa http://t.co/oGubrzSuHk |  @allaboutnapa #napaquake
503643293406609409,Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/jDlJGGV7Fa
503643349119549440,The essence of being human: skaters explore upside to Napa quake damage. cc @GreatDismal http://t.co/LzekB7RBYr
503643298657861632,The epicenter of this quake was also ~ the epicenter of the Napa wine industry. Will be interesting to see what's happened.
503643289317552128,Real time coverage of #Napa California #earthquake at http://napa http://t.co/x4GU4DTbt9 |  @allaboutnapa #napaquake
503643330551775232,Real time coverage of #Napa California #earthquake at http://napa http://t.co/4Hc6kIMW2z |  @allaboutnapa #napaquake
503643323173969920,Real time coverage of #Napa California #earthquake at http://napa http://t.co/ug9CheAgTC |  @allaboutnapa #napaquake
503643321248395264,6.0 Napa Quake Is Largest California Earthquake In 25 Years!: http://t.co/BlGsaeIwcB via @YouTube
503643346938523649,Real time coverage of #Napa California #earthquake at http://napa http://t.co/yo1IDxXFfB |  @allaboutnapa #napaquake
503643298310148097,Real time coverage of #Napa California #earthquake at http://napa http://t.co/i9DZiaBzaw |  @allaboutnapa #napaquake
503643325715730432,President Obama released this graphic on the #earthquake in Napa via the Federal Emergency Management Agency. #tcot http://t.co/wTjdymHVTc
503643349224804353,Real time coverage of #Napa California #earthquake at http://napa http://t.co/SswB9zKTP6 |  @allaboutnapa #napaquake
503643302130753536,CA Bay Area Students! If the earthquake affected you, pls contact the consulate hotline (310) 279-3644. @UCBerkeley has good earthquake info
503643327632519168,Real time coverage of #Napa California #earthquake at http://napa http://t.co/VHDLAiri5V |  @allaboutnapa #napaquake
503643329922215937,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643326990778368,Real time coverage of #Napa California #earthquake at http://napa http://t.co/3dSmzb0rla |  @allaboutnapa #napaquake
503643302915489795,Real time coverage of #Napa California #earthquake at http://napa http://t.co/RXCRxVYRxC |  @allaboutnapa #napaquake
503643323236904961,Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/aoSh1SWfLT
503643356715835392,Real time coverage of #Napa California #earthquake at http://napa http://t.co/8ltiouYzJT |  @allaboutnapa #napaquake
503643341905752064,Breaking news: A magnitude 6.0 earthquake hit Northern California near Napa Valley Sunday, injuring 89 -3 injuring 89.
503643307684421632,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Gah6FTmPjd |  @allaboutnapa #napaquake
503643355310743552,Real time coverage of #Napa California #earthquake at http://napa http://t.co/qPMJDDNqAl |  @allaboutnapa #napaquake
503643293176332289,Real time coverage of #Napa California #earthquake at http://napa http://t.co/zdfGRjH9oQ |  @allaboutnapa #napaquake
503643297685200896,Real time coverage of #Napa California #earthquake at http://napa http://t.co/UlhOmg8wiR |  @allaboutnapa #napaquake
503643355990220800,Real time coverage of #Napa California #earthquake at http://napa http://t.co/uU3O26lpxw |  @allaboutnapa #napaquake
503643314424655872,RT: @ABC JUST IN: 6.0 magnitude earthquake hits northern California: http://t.co/L5tzC4HX9d
503643341205299200,Real time coverage of #Napa California #earthquake at http://napa http://t.co/SlsNbMIEo9 |  @allaboutnapa #napaquake
503643290307403776,Real time coverage of #Napa California #earthquake at http://napa http://t.co/8CJZp02TnH |  @allaboutnapa #napaquake
503643302147915777,Real time coverage of #Napa California #earthquake at http://napa http://t.co/1ciLLP7pIJ |  @allaboutnapa #napaquake
503643332015554560,Real time coverage of #Napa California #earthquake at http://napa http://t.co/1wqL48wvuq |  @allaboutnapa #napaquake
503643317855207424,PHOTO: Quake damage in #Napa at Ranch Market store. Photo by @FoxNews crew, photo Tom W &amp; @ClaudiaCowan1 #napaquake http://t.co/QclaTH4u0t
503643298918334465,Oh, California - this, via @vickydnguyen: Skaters find upside to #napaquake. Photo from #nbcbayarea's Jeremy Carroll http://t.co/VMcw6hQcjf
503643344946601984,Strong California quake causes injuries, damage http://t.co/bQNOvFBidc via @YahooNews
503643293880963072,Real time coverage of #Napa California #earthquake at http://napa http://t.co/qjb4qGUys8 |  @allaboutnapa #napaquake
503643334938988544,Real time coverage of #Napa California #earthquake at http://napa http://t.co/5fQKjrEhTt |  @allaboutnapa #napaquake
503643318560239616,My thoughts w/ everyone involved in #napaearthquake. Thank you to the rescue workers!
503643299996241920,Real time coverage of #Napa California #earthquake at http://napa http://t.co/MaQ4DjsRfQ |  @allaboutnapa #napaquake
503643310557503488,Real time coverage of #Napa California #earthquake at http://napa http://t.co/PpQsbSNxU1 |  @allaboutnapa #napaquake
503643328320385025,Real time coverage of #Napa California #earthquake at http://napa http://t.co/UK16JfydXo |  @allaboutnapa #napaquake
503643344653012992,Real time coverage of #Napa California #earthquake at http://napa http://t.co/6Pojirso8M |  @allaboutnapa #napaquake
503643317704212480,Large earthquake rattles San Francisco Bay Area http://t.co/gC1VEObXSi (CBS 13/Peter Roney) http://t.co/hr4fRLpvZO
503643347807129602,Real time coverage of #Napa California #earthquake at http://napa http://t.co/40v4uoTluQ |  @allaboutnapa #napaquake
503643320405725184,Real time coverage of #Napa California #earthquake at http://napa http://t.co/aRs41933Zn |  @allaboutnapa #napaquake
503643299329359872,Real time coverage of #Napa California #earthquake at http://napa http://t.co/fYAzorTTh1 |  @allaboutnapa #napaquake
503643303490109440,Thoughts &amp; prayers w/ everyone affected by this morning's quake in the Bay Area.
503643321823420416,Real time coverage of #Napa California #earthquake at http://napa http://t.co/sH38Jg7Thm |  @allaboutnapa #napaquake
503643357495963648,Real time coverage of #Napa California #earthquake at http://napa http://t.co/gtjqtTYwhD |  @allaboutnapa #napaquake
503643325761851392,RT @TheFireTracker2: RT @mgafni: Historic downtown #Napa home shifts off foundation by many feet #napaquake http://t.co/VJRQsm15Lw/s/qsFi
503643309190156288,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Ab6BiKeG9K |  @allaboutnapa #napaquake
503643354677407744,Real time coverage of #Napa California #earthquake at http://napa http://t.co/2YAitB3O3J |  @allaboutnapa #napaquake
503643305352372224,MORE: Napa officials say the 6.0 magnitude earthquake left up to 16 buildings uninhabitable: http://t.co/azwRNeURtH
503643333470982144,Real time coverage of #Napa California #earthquake at http://napa http://t.co/xtau9ywdyg |  @allaboutnapa #napaquake
503643341880565760,Real time coverage of #Napa California #earthquake at http://napa http://t.co/K4hx5FaNH4 |  @allaboutnapa #napaquake
503643295218958338,Real time coverage of #Napa California #earthquake at http://napa http://t.co/pibXhVlfvN |  @allaboutnapa #napaquake
503643318937739265,Real time coverage of #Napa California #earthquake at http://napa http://t.co/NHxwjfwIZj |  @allaboutnapa #napaquake
503643331281555456,Real time coverage of #Napa California #earthquake at http://napa http://t.co/bYSFFHjH21 |  @allaboutnapa #napaquake
503643291859292161,Real time coverage of #Napa California #earthquake at http://napa http://t.co/okhMxk4jb0 |  @allaboutnapa #napaquake
503643335857569792,Real time coverage of #Napa California #earthquake at http://napa http://t.co/rI4vnRiazw |  @allaboutnapa #napaquake
503643292505210880,Real time coverage of #Napa California #earthquake at http://napa http://t.co/1eiKnIEB3j |  @allaboutnapa #napaquake
503643296577880064,Real time coverage of #Napa California #earthquake at http://napa http://t.co/v2qXds6gF4 |  @allaboutnapa #napaquake
503643343197577216,Real time coverage of #Napa California #earthquake at http://napa http://t.co/mUt5wlNNtd |  @allaboutnapa #napaquake
503643326789062657,State of Emergency After Northern California Shaken by Biggest Earthquake in 25 Years - ABC News http://t.co/ibmnYHOQhL via @ABC
503643358934605824,Real time coverage of #Napa California #earthquake at http://napa http://t.co/o34bsSYldI |  @allaboutnapa #napaquake
503643344791031808,Upside of damaging quakes RT @passantino Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/zpRQVOzSaU
503643334280482816,Real time coverage of #Napa California #earthquake at http://napa http://t.co/TRkbMevgZy |  @allaboutnapa #napaquake
503643349954613248,Update: @JerryBrownGov declares stated of emergency in NAPA following 6.0 earthquake http://t.co/bV3bRMohBF http://t.co/QI6QmSHO3n
503643353863294976,Real time coverage of #Napa California #earthquake at http://napa http://t.co/qmGQNhvLSg |  @allaboutnapa #napaquake
503643319713673217,Real time coverage of #Napa California #earthquake at http://napa http://t.co/C1URr8gxo5 |  @allaboutnapa #napaquake
503643300877058049,Real time coverage of #Napa California #earthquake at http://napa http://t.co/LrDUUUxO3g |  @allaboutnapa #napaquake
503643311337639936,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Ss0IzT1OOV |  @allaboutnapa #napaquake
503643291150458880,Real time coverage of #Napa California #earthquake at http://napa http://t.co/S44gtfUrnv |  @allaboutnapa #napaquake
503643324017020928,Real time coverage of #Napa California #earthquake at http://napa http://t.co/EeMWDpDB32 |  @allaboutnapa #napaquake
503643330543357952,Earthquake Hits North California http://t.co/PPconxS6Fi
503643294573006849,Real time coverage of #Napa California #earthquake at http://napa http://t.co/ZRopwMGD8A |  @allaboutnapa #napaquake
503643350701191168,Real time coverage of #Napa California #earthquake at http://napa http://t.co/q74Uc8njVG |  @allaboutnapa #napaquake
503643291758260224,Any schools or teachers that need help cleaning up in Napa tomorrow? We would be happy to assemble a team of helpers! #napaearthquake
503643301535551490,Real time coverage of #Napa California #earthquake at http://napa http://t.co/KskrtvAJtx |  @allaboutnapa #napaquake
503643359794434049,VIDEO: Earthquake triggers fires at Napa Valley mobile home park while disrupting water supply: http://t.co/IrZyTdWcEo
503643309903183873,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Xw2TcFRJdK |  @allaboutnapa #napaquake
503643332229480448,A 1.4 magnitude earthquake occurred 3.73mi NW of American Canyon, California. Details: http://t.co/FJpWJql0z2 Map: http://t.co/kXVg4rdRSZ
503643357688500225,Big earthquake in Napa this morning. Locals described it as "vibrant and intense, but not overly flamboyant with a clean, earthy finish."
503643358284509184,Real time coverage of #Napa California #earthquake at http://napa http://t.co/i2uGHp7dMD |  @allaboutnapa #napaquake
503643287954001920,#whenlifegivesyoulemons "@nbcbayarea: Napa: Skaters find upside to quake damage. Video: http://t.co/ZtesPIaxd9
503643339392966657,Fire erupts after quake rocks California wine country: A mobile home park is set ablaze in the aftermath of an... http://t.co/38XfjmrJOE
503643450034491392,NBC Chicago: Napa Valley winery loses hundreds of bottles following Sunday's #earthquake --&gt;... http://t.co/lYy9GAkyEq
503643482733682688,Real time coverage of #Napa California #earthquake at http://napa http://t.co/7qp3NUIaEl |  @allaboutnapa #napaquake
503643469228019712,Real time coverage of #Napa California #earthquake at http://napa http://t.co/oYSwBa6Amb |  @allaboutnapa #napaquake
503643453633613825,Real time coverage of #Napa California #earthquake at http://napa http://t.co/W5IckRM3KF |  @allaboutnapa #napaquake
503643451465162752,Real time coverage of #Napa California #earthquake at http://napa http://t.co/p2x1d9BWjh |  @allaboutnapa #napaquake
503643486516559872,A state of emergency has been declared in the wake of the Napa Valley earthquake http://t.co/vd5ljCO3Oe
503643460726173696,Wow, big 6.0 quake in Napa! This is why I recommended moving the #WMF to San Francisco and then moved myself to London England. #Suckers
503643486956957697,Will be barrel pickup sticks #napaearthquake http://t.co/4WRYxfJ2vs
503643470628937728,Real time coverage of #Napa California #earthquake at http://napa http://t.co/GxyOe5j2z0 |  @allaboutnapa #napaquake
503643490967109632,UPDATE: Structural damage, fires reported in Napa, Calif., following 6.0 earthquake: http://t.co/4PUrJQEuLr http://t.co/0OQMBoAedb
503643450680803328,Real time coverage of #Napa California #earthquake at http://napa http://t.co/xr5hZvvRPi |  @allaboutnapa #napaquake
503643495815720960,Photos: Powerful earthquake shakes Northern California http://t.co/TkbLXYXrMZ http://t.co/sNWkFLBZzA
503643365850628097,RT @abc7newsBayArea: Napa County officials are using a drone to assess damage at the top of buildings. #quake // I approve!
503643497703153664,Real time coverage of #Napa California #earthquake at http://napa http://t.co/lUiDzfXRMf |  @allaboutnapa #napaquake
